country,market_risk_appetite,short_term_cover,medium_long_term_cover,care_on_location,sustainable_lending,snapshot_date,source_url
Bangladesh,£1 billion to £2 billion,Yes - With restrictions,Yes,False,True,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Brazil,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Chile,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Colombia,At least £5 billion,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Czechia,At least £5 billion,No,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Egypt,£2 billion to £3 billion,Yes - With restrictions,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Ghana,Off cover,No,No,False,True,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
India,At least £5 billion,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Indonesia,£4 billion to £5 billion,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Iraq,£1 billion to £2 billion,Contact us,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Jordan,£3 billion to £4 billion,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Kazakhstan,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Kenya,£1 billion to £2 billion,Yes,Yes,True,True,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Malaysia,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Mexico,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Morocco,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Philippines,At least £5 billion,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Poland,Contact Us,No,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Rwanda,£2 billion to £3 billion,Yes,Yes,False,True,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Saudi Arabia,£4 billion to £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
South Africa,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Taiwan,£4 billion to £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Türkiye,£250 million to £500 million,Yes,Yes,True,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
Vietnam,At least £5 billion,Yes,Yes,False,False,2026-07-31,https://www.gov.uk/guidance/country-cover-policy-and-indicators
